No_Causa,No_Efeito,Direcao,Causa_Original,Efeito_Original,Score_Relacao,Arquivo_Origem,Sentenca_Original
Obesidade / Sobrepeso,Doenças Cardiovasculares (DVC),Causa -> Efeito,a obesidade entre crianças e adolescentes nas macrorregiões brasileiras,de risco cardiovascular,10.56,OK Síndrome Metabólica e HAS.pdf,Fator de risco cardiovascular: a obesidade entre crianças e adolescentes nas macrorregiões brasileiras.
Obesidade / Sobrepeso,Doenças Cardiovasculares (DVC),Causa -> Efeito,a obesidade entre crianças e adolescentes nas macrorregiões brasileiras,de risco cardiovascular,10.56,OK Apnéia obstrututiva do sono e HAS 3.pdf,Fator de risco cardiovascular: a obesidade entre crianças e adolescentes nas macrorregiões brasileiras.
Pressão Arterial (PA),Fator de Risco,Causa -> Efeito,", insuficiência renal , acidente vascular cerebral e diversas outras complicações graves que podem levar à incapacidade e morte precoce",de risco significativo,10.51,Hipertensão+Arterial+Sistêmica+Uma+revisão+da+literatura+atual.pdf,"A HAS é um fator de risco significativo para doenças cardiovasculares, insuficiência renal, acidente vascular cerebral e diversas outras complicações graves que podem levar à incapacidade e morte precoce."
Pressão Arterial (PA),Fator de Risco,Causa -> Efeito,", insuficiência renal , acidente vascular cerebral e diversas outras complicações graves que podem levar à incapacidade e morte precoce",de risco significativo,10.51,Hipertensão+Arterial+Sistêmica+Uma+revisão+da+literatura+atual.pdf,"A HAS é um fator de risco significativo para doenças cardiovasculares, insuficiência renal, acidente vascular cerebral e diversas outras complicações graves que podem levar à incapacidade e morte precoce."
Saos,Hipertensão Arterial (HAS),Causa -> Efeito,a SAOS,o risco da hipertensão arterial11,10.47,OK Apnéia obstrututiva do sono e HAS 2.pdf,"Diante disso, a SAOS aumentar o risco da hipertensão arterial11."
Pressão Arterial (PA),Fator de Risco,Causa -> Efeito,A gravidez nesse grupo específico de pacientes,um risco de comprometimento materno e fetal quando,10.46,OK manual_gestacao_alto_risco.pdf,A gravidez nesse grupo específico de pacientes acarreta um risco elevado de comprometimento materno e fetal quando comparada à gravidez em mulheres sem a doença.
Diabetes / Glicemia,Fator de Risco,Causa -> Efeito,": idade > 50 anos , sexo masculino , predisposição genética , história familiar , afrodescendência , duração e estágio da HA , baixo nível socioeconômico , intensidade da albuminúria , grau de disfunção renal , dislipidemia , obesidade , diabetes , estilo de vida ( dieta hipersódica , hiperproteica e fumo ) , uso de substâncias nefrotóxicas",de risco,10.31,OK HAS SECUNDÁRIA.pdf,"São fatores de risco conhecidos para progressão da DRC: idade > 50 anos, sexo masculino, predisposição genética, história familiar, afrodescendência, duração e estágio da HA, baixo nível socioeconômico, intensidade da albuminúria, grau de disfunção renal, dislipidemia, obesidade, diabetes, estilo de vida (dieta hipersódica, hiperproteica e fumo), uso de substâncias nefrotóxicas, entre outros.28 Rev Bras"
Pressão Arterial (PA),Doenças Cardiovasculares (DVC),Causa -> Efeito,o aumento conjunto dos parâmetros da SM,maior risco cardiovascular,10.2,OK Síndrome Metabólica e HAS.pdf,"Esse escore mostra que o aumento conjunto dos parâmetros da SM promove maior risco cardiovascular, e assim, escores mais elevados indicam um perfil metabólico menos favorável."
Fator de Risco,Doenças Cardiovasculares (DVC),Causa -> Efeito,o tratamento do hipertenso de baixo risco,os desfechos de doença arterial coronariana ( DAC ),10.07,OK Diretriz-HAS-2020.pdf,"Assim, metanálises de dados individuais de participantes de estudos randomizados conduzidos com hipertensos estágio 1 sem DCV prévia nos auxiliam a definir a melhor conduta.306-308 Um desses estudos evidenciou que o tratamento do hipertenso de baixo risco não reduziu os desfechos de doença arterial coronariana (DAC), os eventos CV ou a mortalidade CV, em um seguimento de quatro a cinco anos.306 Houve, entretanto, uma tendência para a redução de acidente vascular encefálico (AVE) e mortalidade total, sendo que tais diminuições seriam claramente obtidas com um tempo de seguimento maior ou mais participantes incluídos nos estudos."
Hipertensão Arterial (HAS),Fator de Risco,Causa -> Efeito,a hipertensão,"o risco de COVID-19 grave , definida como internação em terapia intensiva , gravidade clínica",9.98,OK Diretrizes Medicamentos HAS OPAS OMS.pdf,"Quase todas as evidências disponíveis sugerem que a hipertensão aumenta o risco de COVID-19 grave, definida como internação em terapia intensiva, gravidade clínica, ambas ou mortalidade."
Fator de Risco,Doenças Cardiovasculares (DVC),Causa -> Efeito,O combate aos fatores de risco comportamentais associados ao tratamento dos fatores de risco intermediários e da SAHOS,à do risco cardiovascular,9.84,OK Distúrbios Respiratórios do Sono e HAS 2.pdf,O combate aos fatores de risco comportamentais associados ao tratamento dos fatores de risco intermediários e da SAHOS levam à redução do risco cardiovascular.
Pressão Arterial (PA),Fator de Risco,Causa -> Efeito,", uma pressão arterial sistólica ( PAS ) entre 131-135 mmHg",o risco de mortalidade,9.78,OK Diretriz-HAS-2020.pdf,"Em uma metanálise de 13 ensaios clínicos envolvendo pacientes com DM, uma pressão arterial sistólica (PAS) entre 131-135 mmHg diminuiu o risco de mortalidade por todas as causas em 13%, enquanto um controle mais intensivo da PAS ≤ 130 mmHg foi associado a maior redução de AVE.581 Outra metanálise mostrou a redução significativa de mortalidade com média alcançada de PAS igual a 138 mm"
Hipertensão Arterial (HAS),Doenças Cardiovasculares (DVC),Causa -> Efeito,a HAS,o risco de desenvolvimento de doenças cardiovasculares ( DCV ),9.78,OK causas Hipertensão Secundária.pdf,"Outrossim, a HAS aumenta consideravelmente o risco de desenvolvimento de doenças cardiovasculares (DCV), as quais são as principais causas Brazilian Journal of Development Brazilian Journal of Development, Curitiba, v.8, n.10, p.65650-65666, oct., 2022 de óbito no Brasil; dessa forma, seu rastreio e devido diagnóstico, bem como o tratamento, são imprescindíveis como medidas de saúde pública (CHARLES; TRISCOTT; DOBBS, 2017; WRIGHT; MUSINI; GILL, 2018; L et al."
Hipertensão Arterial (HAS),Fator de Risco,Causa -> Efeito,": hipertensão , diabetes mellitus e doenças cardiovasculares como arteriosclerose",de risco,9.45,OK Alimentação Vegetariana e HAS.pdf,"Essa doença crônica é, também, fator de risco para várias outras enfermidades graves, a saber: hipertensão, diabetes mellitus e doenças cardiovasculares como arteriosclerose."
Fator de Risco,Obesidade / Sobrepeso,Causa -> Efeito,o risco,de acordo com a gravidade da obesidade,9.39,OK HAS criança e adolescente.pdf,"A obesidade na infância está associada ao futuro desenvolvimento de HA, e o risco aumenta de acordo com a gravidade da obesidade."
Fator de Risco,Doenças Cardiovasculares (DVC),Causa -> Efeito,O combate aos fatores de risco comportamentais associados ao tratamento dos fatores de risco intermediários e da SAHOS,"a do risco cardiovascular14,15",9.27,OK Distúrbios Respiratórios do Sono e HAS 2.pdf,"O combate aos fatores de risco comportamentais associados ao tratamento dos fatores de risco intermediários e da SAHOS levam a redução do risco cardiovascular14,15."
Pressão Arterial (PA),Hipertensão Arterial (HAS),Causa -> Efeito,o controle da PA,"do risco cardiovascular entre indivíduos com HAS e DM22 , 3",9.17,OK TAI CHI E HAS.pdf,"Assim, o controle da PA promove redução do risco cardiovascular entre indivíduos com HAS e DM22, 3."
Hipertensão Arterial (HAS),Dislipidemia / Colesterol,Causa -> Efeito,"o consumo de uma porção diária de leguminosas dietéticas ( feijão , grão-de-bico , lentilhas e ervilhas )",o LDL-colesterol,7.86,OK Consumo alimentar e DCV.pdf,"Revisão sistemática e metanálise de 26 ensaios clínicos randomizados constatou que o consumo de uma porção diária de leguminosas dietéticas (feijão, grão-de-bico, lentilhas e ervilhas) reduziu significativamente o LDL-colesterol durante uma média de 6 semanas de seguimento, reduzindo, portanto, o risco cardiovascular em adultos predominantemente de meia idade, normolipidêmicos ou hiperlipêmicos com risco moderado de DAC ."
Hipertensão Arterial (HAS),Doenças Cardiovasculares (DVC),Causa -> Efeito,a pré-hipertensão,"24,60 % dos infartos do miocárdio ( IAM )",7.42,OK Diretriz-HAS-2020.pdf,"Nessa metanálise, após o controle dos múltiplos fatores de risco CV, a pré-hipertensão aumentou em 40% o risco total de doenças, sendo que 12,09% das doenças CV; 13,26% das doenças coronarianas; 24,60% dos infartos do miocárdio (IAM); e 19,15% dos AVE poderiam ser prevenidos com seu controle efetivo."
Hipertensão Arterial (HAS),Doenças Cardiovasculares (DVC),Causa -> Efeito,a pré-hipertensão,"13,26 % das doenças coronarianas",5.72,OK Diretriz-HAS-2020.pdf,"Nessa metanálise, após o controle dos múltiplos fatores de risco CV, a pré-hipertensão aumentou em 40% o risco total de doenças, sendo que 12,09% das doenças CV; 13,26% das doenças coronarianas; 24,60% dos infartos do miocárdio (IAM); e 19,15% dos AVE poderiam ser prevenidos com seu controle efetivo."
Hipertensão Arterial (HAS),Fator de Risco,Causa -> Efeito,a pré-hipertensão,o risco total de doenças,4.4,OK Diretriz-HAS-2020.pdf,"Nessa metanálise, após o controle dos múltiplos fatores de risco CV, a pré-hipertensão aumentou em 40% o risco total de doenças, sendo que 12,09% das doenças CV; 13,26% das doenças coronarianas; 24,60% dos infartos do miocárdio (IAM); e 19,15% dos AVE poderiam ser prevenidos com seu controle efetivo."
Hipertensão Arterial (HAS),Doenças Cardiovasculares (DVC),Causa -> Efeito,A pré-hipertensão,o risco cardiovascular,4.21,OK Diretriz-HAS-2020.pdf,A pré-hipertensão aumenta o risco cardiovascular.
