Causa,Efeito,Tipo_Relacao,Frequencia
hormonal contraceptive use,strength,general,1
hour exposure,statistically sig nificant melatonin suppression,general,1
hu m,exercise enjoyment,general,1
huang y,experimental colitis,general,1
hygiene practice,course,general,1
hyperinsulinaemia,endogenous antioxidant,general,1
hyperinsulinaemia,follow,general,1
hyperinsulinaemia,increase incidence,general,1
hyperinsulinaemia,ketogenesi,general,1
hyperinsulinemia,insulin sensitivity,general,1
hyperlipemia,malignant transformation,general,1
hyperlipidemia,contractile function,general,1
hyperlipidemia,electrophysiological response,general,1
hyperlipidemia,typical atherosclerosis development,general,1
idea,1970 s,general,1
idea,large number,general,1
imola f,dyslipidaemia,general,1
imola f,hyperglycaemia,general,1
imola f,hypertension,general,1
impact,physical health,general,1
important fuel sub strate,max imal cardiac output,general,1
improvement,bad shift,general,1
improvement,enhance ability,general,1
improvement nutrient,occurrence,general,1
inadequate sleep duration,kittle et al,general,1
inadequate vitamin d,autoimmune and inflammatory disease,general,1
inadequate vitamin d,cardiovascular disease,general,1
inadequate vitamin d,certain cancer,general,1
inadequate vitamin d,ease,general,1
inadequate vitamin d,high risk,general,1
inadequate vitamin d,hypertension,general,1
inadequate vitamin d,peripheral artery,general,1
incidence,10 g d increment,general,1
inclusion,performance,general,1
incomplete evacuation ctt,3 treatment group,general,1
incomplete evacuation ctt,baseline,general,1
inconsistent clinical datum,question,general,1
increase,oxidative stress,general,1
increase fat oxidation,long - term endurance level,general,1
increase gastric volume,great physical discomfort,general,1
increase moisture intake,26 28,general,1
increase moisture intake,movement,general,1
increase moisture intake,reduce risk,general,1
increase mpf consumption,low odd,general,1
increase oxidative stress,longevity,general,1
increase oxidative stress,metabolic health,general,1
increase presence,enhance metabolic process,general,1
increase ratio,obesity,general,1
increase ratio,recently report study,general,1
increase sleep fragmentation,sleep efﬁciency,intra_sleep,1
individual,carbohydrate content,general,1
individual,fiber intake,general,1
individual agachan,baseline,general,1
individual rome symptom peg,significantly high response,general,1
individual variability,difference,general,1
inflammation,inflammatory reaction,general,1
influence,study outcome,general,1
ingestion,insulin resistance,general,1
ingestion,lipopolysaccharide - mediate inﬂammation,general,1
initial daytime sleepiness,withdrawal,general,1
inoculation,exhaustive treadmill run time,general,1
insoluble nonviscous fiber,mechanical stimulation,general,1
insomnia,context,general,1
insomnia,work schedule,general,1
insufficient moisture intake,dry and harden stool,general,1
insufficient moisture intake,electrolyte balance and fluid transport mecha nism,general,1
insulin,beta - oxidation,general,1
insulin,cell,general,1
insulin,cell cycle,general,1
insulin,ceramide synthesis,general,1
insulin,ketogenesi,general,1
insulin,ketolysis,general,1
insulin,mitochondrial ceramide synthesis,general,1
insulin,replication rate,general,1
insulin signal,division,general,1
insulin signal,growth,general,1
intake,cardiovascular disease,general,1
intake,high sleep latency,general,1
intake,mortality,general,1
intake,type,general,1
intensity,extend time,general,1
intensive - lifestyle group,physical activity,general,1
intensive - lifestyle group,portion - control food,general,1
interdisciplinary protocol,1 3 kg,general,1
interdisciplinary protocol,great and more clinically signiﬁcant effect,general,1
intermittent fasting,athlete,general,1
intermittent fasting,body composition,general,1
intermittent fasting,lipid,general,1
intermittent fasting,protein meta bolism,general,1
intermittent fasting,whole - body glucose,general,1
intervention,body,general,1
intervention,muscle mass,general,1
intervention,significantly high bifidobacterium spp abun dance,general,1
intervention,significantly high lactobacillus spp,general,1
intervention,signiﬁcant change,general,1
intestinal microbiota,colonic peristalsis,general,1
inulin,increase stool frequency,general,1
inulin,ﬁrst study,general,1
irritable bowel syndrome,9 to 27,general,1
istere,signifi,general,1
iwasa m,management,general,1
izquierdo m moderate resistance training volume,favor able strength gain,general,1
j f endurance,glycemia,general,1
j f endurance,vo2peak,general,1
japan society,expectancy,general,1
japan society,quality,general,1
jaster r,healthy control,general,1
jaster r,shift,general,1
jet lag,trip,general,1
jet lag disorder time zone change syndrome,trip,general,1
gut microbiota,bioactive immunomodulin,general,1
jurado - fasoli,sleep quality,general,1
kato y,management,general,1
ketone,activation,general,1
key point concurrent strength,parameter,general,1
kim c s,cognitive function,general,1
kim c s,randomize double - blind placebo - control multicenter trial,general,1
king,glycemia,general,1
king,vo2peak,general,1
zhang yg,defective autophagy,general,1
zhang yg,hyperfunction,general,1
kiwi - derive powder,signiﬁcant improve ment,general,1
kiwifruit - derive supplement,stool frequency,general,1
kleessen b,faecal microbiota,general,1
klinitzke p,healthy control,general,1
klinitzke p,shift,general,1
kong,exercise enjoyment,general,1
kong j,experimental colitis,general,1
kreikemeyer b,healthy control,general,1
kreikemeyer b,shift,general,1
krill oil,pathologic score,general,1
krill oil,secretion,general,1
lack,hyperfunction,general,1
lack,length,general,1
lack,low grade,general,1
lack,low level,general,1
lamprecht g,healthy control,general,1
lamprecht g,shift,general,1
zheng c,experimental colitis,general,1
large ph gradient,excessive growth,general,1
zhou d,defective autophagy,general,1
zhou y,inﬂammatory bowel disease,general,1
ﬂavonoid,α - amylase,general,1
ﬂavonoid,α - glucosidase,general,1
late,muscular oxidative capacity,general,1
lead backlit computer screen,circadian physiology,general,1
lead backlit computer screen,cognitive perfor mance,general,1
ﬂuoxetine,normalisation,general,1
3 month,similar increase,general,1
32 activation,nitric oxide pro duction,general,1
length,sleep,general,1
lengthen rate,el derly subject,general,1
4 9 no measure,improve,general,1
4 9 no measure,run,general,1
4 9 no measure,statistically non - significant improve ment,general,1
5 - min rest interval,performance decrement,general,1
65 yr control study,end abbreviation,general,1
lifestyle,antioxidant catabolism,general,1
lin l,elevated ghrelin,general,1
lin l,increase body mass index,general,1
lin l,reduce leptin,general,1
liquid stool,stool output,general,1
little,muscle oxidative capacity,general,1
liu w,experimental colitis,general,1
8 c decrease,5 drop,general,1
8 c decrease,hand,general,1
8 c increase,10 drop,general,1
8 wk,fast and slow con training,general,1
8 wk,great hyper trophy,general,1
long - term health care cost,bariatric procedure,general,1
8 wk,large increase,general,1
long leukocyte telomere,ultra - endurance exercise,general,1
loose stool,stool output,general,1
loperamide,adverse effect,general,1
loperamide,fecal inconti nence,general,1
8 wk,type,general,1
loss,deﬁcient antibacterial activity,general,1
loss,increase rate,general,1
loss,intestinal epithelium,general,1
8 wk,type ii muscle fiber hypertrophy,general,1
low dietary fiber intake,constipation,general,1
low dietary fiber intake,increase risk,general,1
low dietary fibre intake,constipation,general,1
low dose alcohol,statistically signiﬁcant reduction,general,1
low food moisture intake,incidence,general,1
low level,inﬂammatory bowel disease,general,1
low level,obesity,general,1
low level,oxidative stress,general,1
low level,poor sleep quality,general,1
low level,poor subjective health,general,1
85 hoff j,work economy,general,1
90 51 54,stool output,general,1
95 ci,stool frequency,general,1
low plasma trp,serotonin,general,1
low se,frequent and or long awake period,general,1
lu r,defective autophagy,general,1
ability,age,general,1
ability,chance,general,1
main efficacy,erdogan et al,general,1
main efficacy,safety food,general,1
main efficacy,safety mix fiber mix fiber,general,1
absence,attenuation,general,1
main efficacy,safety peg peg,general,1
main efficacy,safety soluble and mixed fiber,general,1
main efficacy,safety stimulant laxative,general,1
malabsorption,inadequate sunlight exposure,general,1
maldonado j,gut microbiome,general,1
absence,secretion,general,1
mango - base supplement,signiﬁcantly I m prove evacuation categorization,general,1
manjer j,functional gastrointestinal symptom,general,1
manjer j physical inactivity,functional gastroin testinal complaint,general,1
marcinko,diversity,general,1
marcinko,metabolic capacity,general,1
access,short sleep duration,general,1
accompany hormonal concentration,maximal strength,general,1
accompany hormonal concentration,substrate metabolism,general,1
meal,serotonin,general,1
mean sol,high - gi meal,general,1
measure,double poling performance,general,1
measure,formance,general,1
measure,lean body mass,general,1
mechanical loading,series,general,1
accumulation,age,general,1
accumulation,fat cell,general,1
activation,body s sensitivity,general,1
mechanism,excessive dietary intake,general,1
mechanism,hyperplasia,general,1
mechanism,hypertrophy,general,1
mechanism,interference,general,1
mechanism,lack,general,1
active treat ment,signiﬁcant increase,general,1
meckel k,mucosal inﬂammation,general,1
med itation,self - report improvement,general,1
medication,1 to 2 year,general,1
medication,modest weight loss,general,1
medication use,effect,general,1
meditation,arousal,general,1
meditation,attention,general,1
mediterranean diet adherence,change,general,1
mediterranean diet adherence,con stipation symptom,general,1
mediterranean diet adherence,low prevalence,general,1
medline 36727839 doi 10 7554 elife 84051 52 lundström o,functional gastrointestinal symptom,general,1
activity,4 and 39 year,general,1
activity,alteration,general,1
mejdd 2018 94,functional gastroin testinal complaint,general,1
melander o,obesity,general,1
melander o,ter,general,1
melatonin,development,general,1
melatonin,dimeriza tion,general,1
melatonin,downregulation,general,1
melatonin,hyperglycemia,general,1
melatonin,neurological research 561 bradykinin receptor,general,1
melatonin,neuronal loss,general,1
melatonin,randomize double blind placebo - control study,general,1
melatonin,recognize increase,general,1
melatonin,sleep,intra_sleep,1
melatonin,upregulation,general,1
melatonin - mimic agent,dimeriza tion,general,1
melatonin - mimic agent,neurological research 561 bradykinin receptor,general,1
melatonin administration,significant decrease,general,1
melatonin administration,subjective improvement,general,1
melatonin supplementation,improve sleep efficiency,intra_sleep,1
melatonin suppression,increase risk,general,1
melatonin treatment,dopamine - produce neuronal loss,general,1
melatonin treatment,dopamine trans porter,general,1
melatonin treatment,down - regulation,general,1
menstrual cycle,sleep disturbance,general,1
menstrual cycle phase,maximal strength,general,1
menstrual cycle phase,substrate metabolism,general,1
mental ill - health,increase risk,general,1
mere percep tion,health - relate symptom,general,1
meta - analysis,ldl - c level,general,1
metabolic dysfunction,uncontrollable increase,general,1
metabolic pathway,release,general,1
metabolic syndrome,malignant transformation,general,1
metabolite formation,magnitude,general,1
microbiome,vdr expression,general,1
mict,1 89,general,1
mict,2 03,general,1
mict,improvement,general,1
mict,meaningful reduction,general,1
mignot e short sleep duration,elevated ghrelin,general,1
mignot e short sleep duration,increase body mass index,general,1
mignot e short sleep duration,reduce leptin,general,1
miguele,randomize control trial,general,1
miguele,sleep quality,general,1
min d status,composition,general,1
mindfulness meditation,sleep,mental_to_sleep,1
mitochondrial indecision,metabolic gridlock,general,1
mitochondrial ros damage,cellular need,general,1
mixed - method resistance training,power,general,1
mixed - method resistance training,strength,general,1
acute biochemical change,catecholamine release,general,1
addition ally,intestinal health,general,1
adjunctive therapy,like lihood,general,1
adlouni,mark increase,general,1
moderate - intensity exercise,diversity,general,1
moderate - intensity exercise,gut health,general,1
moderate - intensity exercise,insulin sensitivity,general,1
moderate pa level,constipation risk,general,1
advance,diagnosis,general,1
modiﬁcation,effective immediate mean,general,1
modiﬁcation,elite judo athlete,general,1
adverse effect,abnormal metabolism,general,1
mol genet metab,increase telomere length,general,1
molecular response,dopamine neuron vulnerability,general,1
molecular response,propensity,general,1
molina - hidalgo,randomize control trial,general,1
molina - hidalgo,sleep quality,general,1
month,bone,general,1
month,fitness,general,1
month,general and visceral adiposity,general,1
month,rem suppress effect,general,1
adverse effect,gut microbiota,general,1
aerobic exercise,54 55,general,1
aerobic exercise,colonic transit time,general,1
aerobic exercise,gastrointestinal motility,general,1
aerobic exercise,high fat oxidation,general,1
aerobic exercise training,intestinal bacteroide,general,1
aforementioned mechanism,ultimately secondary hypertension,general,1
aforementioned mechanism,vascu lar endothelium dysfunction,general,1
agave inulin supplementation,fecal microbiota,general,1
mpf consumption,decrease odd,general,1
mpf consumption great consumption,2312 lo et al clinical gastroenterology and hepatology vol,general,1
mspl,2 88,general,1
mtor activity,autophagy,general,1
mtor activity,mitophagy,general,1
age - group difference,increase sleep quality,general,1
multiple - set training,44 3 60 5 increase,general,1
multiple health behavior,increase sleep quality,general,1
multiple health behavior,quality,general,1
multiple health behavior,sleep quality,general,1
multiple health behavior,subjective health,general,1
murphy,non - alcoholic fatty liver disease,general,1
musch m,experimental colitis,general,1
age - group difference,quality,general,1
jurado - fasoli,randomize control trial,general,1
age - group difference,subjective health,general,1
muscle action,magnitude,general,1
ahsan,metabolic reprogramming,general,1
ahsan,mitochondrial remodeling,general,1
air pollution,chronic stress level,general,1
alcohol,dosage,general,1
alcohol,increase motility,general,1
muscle strength,week,general,1
alcohol,reduction,general,1
alcohol,temperature,general,1
alcohol,waso,general,1
alcohol consumption,gastrointestinal motility disorder,general,1
music soundscape,improvement,general,1
myostatin gene expression,human,general,1
n mean age,safety constipation,general,1
alcohol consumption,insomnia,general,1
alcohol consumption,poor sleep quality,general,1
nakao m,management,general,1
nass,dopamine neuron degeneration,general,1
nature,depression vulnerability,general,1
neighborhood factor,variation,general,1
neme,obesity mouse model,general,1
alcohol consumption,relationship,general,1
alcohol group,64 minute,general,1
nicotine,normalisation,general,1
nicotine,rapid eye movement,general,1
nicotine,subjective sleep quality,general,1
nicotine adminis tration,prolong rem latency,general,1
nicotine consumption,animal,general,1
nicotine consumption,human,general,1
nicotine consumption,sleep,general,1
nicotine consumption,sleep disturbance,general,1
nicotine replacement therapy,sleep,general,1
nicotine use,increase risk,general,1
nicotine withdrawal,duration,general,1
nicotine withdrawal,individual nicotine level,general,1
nicotine withdrawal,occurrence,general,1
nighttime ambient humidity,sleep,general,1
allowance,lack,general,1
nilsson p,obesity,general,1
nilsson p,ter,general,1
nmo 13789 30 asakura k,constipation,general,1
nocturnal fall,inwithdrawal symptom,general,1
nocturnal food intake,deterioration,general,1
nocturnal urinary dopamine excretion,healthy subject,general,1
nod2 transcrip tion,paneth epithelial cell,general,1
non - athlete rise physical activity,relative abundance,general,1
alter dietary intake 8 vitamin d malabsorption,inadequate sunlight exposure,general,1
non - reproductive function,acute response,general,1
nonlinear term,traditional beta coefficient,general,1
nonprebiotic,95 ci,general,1
nonprebiotic,response,general,1
nonprebiotic intervention,stool consistency,general,1
nordfjäll k,obesity,general,1
nordfjäll k,ter,general,1
normal form stool,stool output,general,1
amaro - gahete,randomize control trial,general,1
amaro - gahete,sleep quality,general,1
american journal,high epithelial vdr level 93,general,1
number,deteriorate quality,general,1
number,disturbance,general,1
number,increase age,general,1
obesity,age,general,1
obesity,cardiometabolic risk factor,general,1
obesity,chronic systemic in flammation,general,1
obesity,oxidative stress,nutrition_to_mental,1
obesity,recent decade,general,1
obesity,risk factor,general,1
objectively measure environmental pollution,sleep quality,general,1
observe overlap,symptom similarity bin,general,1
obstructive sleep apnea,arterial stiffness,general,1
occurrence,sleep,general,1
offset,solar light level,general,1
onset,sleep duration,general,1
opposite effect 5 6 high carbohydrate intake,chronic diarrhea 2 consumption,general,1
oral administration,serum 25 oh d,general,1
oral lead exposure,dysbacteriosis,general,1
oscillospira abundance,addition,general,1
oscillospira abundance,crohn s disease,general,1
oscillospira abundance,fatty liver disease,general,1
amino acid intake,magnitude,general,1
outlook,sleep efﬁciency,general,1
overall effect,pro - inﬂammatory micro - envi ronment,general,1
overall physical activity score,covid-19 pandemic,general,1
overestimation,low bmi,general,1
overnight application,small but signiﬁcant increase,general,1
oxidative stress condition,tl attrition,general,1
andersson hall u,prior exercise,general,1
angiogenin-4 57 diet - induce vitamin d deﬁciency,deletion,general,1
angiogenin-4 57 diet - induce vitamin d deﬁciency,intestinal permeability 126,general,1
annunziata ml,experimental colitis,general,1
pac - qol sbms,baseline,general,1
pac - qol sbms,group,general,1
pain,increase risk,general,1
anti - inflammatory effect,oxidative stress,general,1
anti bacterial role,expres sion,general,1
application type,prolong sleep latency,general,1
application type,shorten tst,general,1
parame ter,interpretation,general,1
parameter,bothe et al,general,1
parameter,safety ficus,general,1
parameter,safety food,general,1
parameter,safety mg - rich mineral water,general,1
parameter,safety peg peg,general,1
parameter,safety soluble and mixed fiber,general,1
parameter,safety stimulant laxative,general,1
particular good quality and restful sleep,eek et al,general,1
particular good quality and restful sleep,health risk,general,1
partly inconsistent ﬁnding,different methodology,general,1
past,50 52,general,1
patch,frequency,general,1
path analysis,increase quality,general,1
appropriate dietary moisture intake,low risk,general,1
patient,average,general,1
patient,fiber intake,general,1
patient,insulin,general,1
patient 4 - 6 water - insoluble nonfermentable ﬁber,luminal bulk,general,1
pattern,energy intake,general,1
pectin,stool frequency,general,1
pectin supplementa tion,number,general,1
pekow j,experimental colitis,general,1
people s perception,environmentally induce health - relate symptom,general,1
peptide yy,body weight,general,1
peptide yy,glycemia,general,1
per2 gene,depression43,general,1
approximately eight set,large effect size,general,1
perceive improvement,general meditation,general,1
perceive improvement,music soundscape,general,1
perceive improvement,sleep meditation,general,1
perceive pollution exposure,self - report mental health,general,1
perceive pollution indicator,poorer mental health,general,1
perceive pollution indicator,sleep disturbance,general,1
arousal,24 h patch,general,1
assa,epithelial barrier dysfunction,general,1
performance endurance training,positive effect,general,1
performance endurance training,table,general,1
assa,intestinal inﬂammation,general,1
auricularia auricula polysaccharide,relative abundance,general,1
peristalsis,excessive growth,general,1
perturbation,manifestation,general,1
petrick,glycemia,general,1
petrick,vo2peak,general,1
petrof eo,defective autophagy,general,1
author,work abstract,general,1
author,write,general,1
author subject methodology,age 30 yr double - blind randomized cross - over study,general,1
physical activity,adults16,general,1
physical activity,age,general,1
physical activity,baseline,general,1
physical activity,contrast,general,1
author subject methodology,gillin et,general,1
physical activity,human gut microbiota,activity_to_physiological,1
physical activity,increase quality,general,1
author subject methodology,gourlay,general,1
physical activity,long tls,general,1
physical activity,low mortality,general,1
physical activity,obesity,activity_to_nutrition,1
physical activity,outcome,general,1
physical activity,prevalence,general,1
physical activity,pucci et al,general,1
author subject methodology,major depressed patient,general,1
physical activity,short tls 17,general,1
autoimmune disease,insulin,general,1
physical activity,subjective health,general,1
physical activity,type 2 diabete,general,1
physical activity,weight regain,general,1
physical activity,young adult,general,1
bactere mia,oncological patient,general,1
bacteria,function,general,1
bacteria,vitamin d metabolism,general,1
physical exercise,change,general,1
physical exercise,composition,general,1
physical exercise,diversity,general,1
physical fitness,dietary intake,general,1
physical fitness,gut microbiota,general,1
physical fitness,metabolomic signature,general,1
bacterial community,pathogenesis,general,1
bacterial population,patient,general,1
physiological and psychological disturbance,change,general,1
pignanelli,glycemia,general,1
pignanelli,vo2peak,general,1
plant circadian clock,competitive advantage,general,1
plant circadian clock,growth,general,1
plant circadian clock,photosynthesis,general,1
plant circadian clock,survival,general,1
plasma glycerol,activation,general,1
plum intervention,child s mean st,general,1
plum intervention,post,general,1
polysaccharide,gut microbiome,general,1
ponent,improvement,general,1
poor sleep quality,high rstls,general,1
poor sleep quality,kittle et al,general,1
poor sleep quality,low se,general,1
poor sleep quality,neurocognitive symptom,general,1
poor water consumption,constipation,general,1
population,40 year,general,1
bader,non - alcoholic fatty liver disease,general,1
ballistic training,small reduction,general,1
bedroom nighttime temperature,duration,general,1
potential loose stool,osmotic laxative,general,1
power,definition,general,1
bedroom nighttime temperature,efficiency,general,1
power training,balance,general,1
power training,high gain,general,1
pqsi,improvement,general,1
prac tice,insomnia,general,1
practice,improvement,general,1
prescription,past decade,general,1
presence,improve fat oxidation,general,1
presence,loss,general,1
presence,low nicotine abstinence,general,1
presence,met,general,1
presence,past decade,general,1
prevalence,recent decade,general,1
bedroom nighttime temperature,restlessness,general,1
probiotic treatment,activity,general,1
probiotic treatment,vdr expression,general,1
process,transient colonization,general,1
product,melatonin level,general,1
program-,popular and social medium,general,1
bedroom nighttime temperature,sample,general,1
berlin p,healthy control,general,1
berlin p,shift,general,1
promising route,accuracy,general,1
beta - hydroxybutyrate,synthesis,general,1
proportion,1 27 25 two type,general,1
protein level,ﬁrst week,general,1
beta2 - contain nicotinic receptor,organization,general,1
bilateral training,unilateral strength,general,1
bioactive 1 25 oh 2d3,gene,general,1
biological function,1 25 oh 2d3 - dependent change,general,1
psyllium,body weight,general,1
psyllium,energy intake,general,1
psyllium,fecal inconti nence,general,1
psyllium,flatulence,general,1
psyllium,glycemic control,general,1
psyllium,hunger feeling,general,1
psyllium,hypoglycemia,general,1
psyllium,improve stool consistency,general,1
psyllium,ldl - cholesterol,general,1
biological function,activation,general,1
psyllium,stool output,general,1
psyllium,stool water content,general,1
psyllium,time point,general,1
psyllium,week,general,1
psyllium fiber,conventional and alternative lipid marker,general,1
psyllium fiber,dominal pain,general,1
biological function,vdr - express cell 34,general,1
bissonnette m,experimental colitis,general,1
psyllium supplementation,improvement,general,1
bliss d,continent stool,general,1
purport reduction,obesity,general,1
qol score,0 25 point,general,1
quadratic trend,age group,general,1
r skn-1 nrf2,dopamine neuron degeneration,general,1
rag ko mouse,development,general,1
blood lactate,ce female,general,1
recommend level,increase body weight,general,1
blot,old adult,general,1
blot,vo2max,general,1
recrea tionally active c group,great perturbation,general,1
body,ketone,general,1
reduce microbial diversity,fatty liver dis ease,general,1
reduce microbial diversity,host phenotype,general,1
reduce microbial diversity,inflammatory bowel disease,general,1
reduce microbial diversity,instance,general,1
reduce microbial diversity,type ii diabetes,general,1
reduction,decrease,general,1
body fat mass 33 hypertension,continuous stress,general,1
regular exercise,speciﬁc physiological adaptation,general,1
regular pa,transit time,general,1
regular physical activity,age,general,1
regular physical activity,cardiore spiratory function,general,1
regular physical activity,low risk,general,1
regulation,glucose homeostasis,general,1
regulation,organism,general,1
boehm,faecal microbiota,general,1
borghi c,dyslipidaemia,general,1
borghi c,hyperglycaemia,general,1
release,response,general,1
relevance,motor performance result,general,1
rem density,ﬁrst,general,1
rem latency,chronic nicotine application,general,1
rem latency,value,general,1
rem sleep,10 5,general,1
rem sleep,evening exercise,sleep_to_activity,1
rem time,control level,general,1
rem time,high,general,1
borghi c,hypertension,general,1
bove m,dyslipidaemia,general,1
repeat melatonin supplementation,randomize control trial,general,1
repeat melatonin supplementation,sleep,intra_sleep,1
representative,intervention study,general,1
representative,sport preparation,general,1
bove m,hyperglycaemia,general,1
bove m,hypertension,general,1
brain serotonin content,ingestion,general,1
resistance training,addition,general,1
bruggencate sjm,intestinal barrier function,general,1
resistance training,favorable change,general,1
burr,glycemia,general,1
respondent response,un derestimation,general,1
rest period length,muscu lar strength,general,1
restful sleep,increase quality,general,1
burr,vo2peak,general,1
restful sleep,quality,general,1
restful sleep,subjective health,general,1
result,neurodegenerative disease,general,1
caffeine administration,minute,general,1
resultant di uresis,initial dramatic weight loss,general,1
richter,faecal microbiota,general,1
rise,escalate telomere attrition,general,1
ristow,longevity,general,1
ristow,metabolic health,general,1
robb p guar,breath methane,general,1
robb p guar,serum acetate concentration,general,1
roopchand,growth,general,1
caffeine condition,sleep efficiency,general,1
ruminaceae family,reduce intestinal permeability,general,1
ruminoc cocus genus,intervention study,general,1
ruminoc cocus genus,sport preparation,general,1
sadykov,dysbacteriosis,general,1
caffeine intake,eeg power spectra,general,1
caffeine intake,human sleep,general,1
cancer,control,general,1
candidate prebiotic interven tion,different effect,general,1
carbohydrate,great increase,general,1
carbohydrate,lnaa,general,1
sc ctt,f carica,general,1
sc pac - sym,baseline,general,1
sc pac - sym,group,general,1
scfa producer,highly - train athlete,general,1
schwarz s,faecal microbiota,general,1
schäfﬂer h,healthy control,general,1
schäfﬂer h,shift,general,1
scott,aerobic capacity,general,1
se nescent cell,secretion,general,1
seasonal effect,summer,general,1
seasonal effect,winter,general,1
select subject,melatonin,general,1
selective mt2 receptor agonist,nrem duration,general,1
self - select control home thermal environment,sleep,general,1
sensitivity anal ysis,homogeneous study population,general,1
sequencing,acute expression,general,1
serotonin avail ability,western diet model,general,1
serum 25 - hydroxyvitamin d concentration,mucosal inﬂammation,general,1
settivari,dopamine neuron degeneration,general,1
severity,fiber supplementation,general,1
severity,high risk,general,1
sex hormone concen tration,adaptation,general,1
sex hormone concen tration,endurance training response,general,1
sex hormone concen tration,strength,general,1
shannon index,exercise,general,1
shephard,hdl - c,general,1
carbohydrate - base high - gi meal,significant shortening,general,1
shin ya effect,excessive dietary intake,general,1
shin ya effect,lack,general,1
shirihai,metabolic reprogramming,general,1
shirihai,mitochondrial remodeling,general,1
short - chain fatty acid product,satiety,general,1
short - chain fructo oligosaccharide administration dose,fecal bifidobacteria,general,1
short - term deficit,decrease muscle protein synthesis,general,1
short telomere,obe sity and weight gain,general,1
carbohydrate metabolism,hyperventilation,general,1
signifi-,hormonal,general,1
signifi-,metabolic,general,1
significantly increase stool water content,stool output,general,1
signiﬁ-,rem sleep,general,1
carbohydrate metabolism,muscle fatigue,general,1
carmeliet g,defective autophagy,general,1
similarly modest improvement,clinically meaningful reduction,general,1
simple ma nipulation,sleep onset,general,1
single - nucleotide polymorphism,diurnal preference,general,1
single - set training,approxiamtely10 increase,general,1
single - set training,j1 to 2 strength reduction,general,1
single study,subanalyse,general,1
single study,type,general,1
sjöro,insulin - stimulate glucose uptake,general,1
slavin j,stool weight,general,1
sleep,activity,general,1
sleep,early wake - up time,general,1
sleep,health behavior,general,1
sleep - relate app component,perceive improvement,general,1
castillo,randomize control trial,general,1
sleep component,perceive improvement,general,1
sleep duration,summer,general,1
sleep duration,winter,general,1
sleep efficiency,condition,general,1
sleep hygiene,insomnia symptomatology,intra_sleep,1
sleep hygiene behavior,insomnia,intra_sleep,1
castillo,sleep quality,general,1
sleep hygiene practice,insomnia,intra_sleep,1
sleep meditation,improvement,general,1
sleep onset,solar light level,general,1
sleep onset latency,sleep efﬁciency,intra_sleep,1
sleep quality,0 41,general,1
cauci s,hapto globin,general,1
cauci s,high - sensitivity c - reactive protein,general,1
sleepiness,nap,general,1
sleepiness,shift,general,1
sleeve pro cedure,pri mary procedure,general,1
slow 20 - isj1 training,fast and slow con training,general,1
slow 20 - isj1 training,great hyper trophy,general,1
slow velocity,great blood lactate,general,1
small but insigniﬁcant increase,hyperventilation,general,1
small but insigniﬁcant increase,muscle fatigue,general,1
small reduc tion,obesity - relate comorbiditie,general,1
chang eb,defective autophagy,general,1
smoking,increase prevalence,general,1
change,acute strenu ous exercise,general,1
smoking,relationship,general,1
smoking and acute nicotine application,sleep efﬁciency,general,1
socio - economic status,home ambient temperature,general,1
socio - economic status,sleep quality,general,1
soft stool,stool output,general,1
soluble viscous fiber,stool bulk,general,1
change,hyperlipidemia,general,1
sougianni,non - alcoholic fatty liver disease,general,1
spadafora p,breath methane,general,1
spadafora p,serum acetate concentration,general,1
specific content,mental health,general,1
specificity,great improvement,general,1
speciﬁc probiotic bacteria,circu lating vitamin d level,general,1
spiegel k,el evate ghrelin level,general,1
sprint training,glycemia,general,1
sprint training,vo2peak,general,1
change,hypertension,general,1
starvation,level,general,1
state,great fat utilization,general,1
step 1 frequency,perceive improvement,general,1
stimulation,inhibition,general,1
stool consistency,fiber supple-,general,1
stool consistency,mentation,general,1
strategy,homeostatic system,general,1
change,intestinal flora,general,1
change,metabolism,general,1
change,physical capacity,general,1
change,release,general,1
strength training,endurance,general,1
strength training,measure,general,1
strenuous exercise,release,general,1
stress,sensitive sleep system,mental_to_sleep,1
char acterization,hunger,general,1
strong correlation,low cardiorespiratory fitness 76,general,1
strong correlation,sedentary lifestyle,general,1
structure,function,general,1
study,dissimilar result,general,1
study,significant increase,general,1
study group time physical activity method,cross,general,1
study group time physical activity method,intervention reference phylum class order,general,1
study group time physical activity method,intervention reference phylum class order family genera genus species level 1 cross,general,1
subgroup analysis,considerable hetero geneity,general,1
subject,-control nico tine and cotinine level,general,1
subject,melatonin,general,1
subjective datum,end abbreviation,general,1
subjective sleep quality,high nico tine dose,general,1
subjectively expe rience impairment,crave,general,1
subjectively expe rience impairment,withdrawal symptom,general,1
submaxi mal heart rate,ce female,general,1
char acterization,weight gain,general,1
charac terization,style,general,1
chatzistamou,non - alcoholic fatty liver disease,general,1
substitution analysis,low odd,general,1
subtle un der baseline condition,bio logical or environmental challenge 26 27,general,1
chen d,defective autophagy,general,1
chen y,experimental colitis,general,1
sunde,cycling economy,general,1
sunset,sleep onset,general,1
supervision,effect,general,1
supplementation,composition,general,1
childhood obesity,health problem,general,1
christou nv,health care use,general,1
symptom,increase daytime sleepiness,general,1
symptom severity,3 month,general,1
symptom severity,90 point,general,1
christou nv,long term mortality,general,1
t p high intensity interval training,body composition,general,1
t p high intensity interval training,metabolic syndrome,general,1
tablet,exposure,general,1
