tipo_marcador,lema_marcador,causa,marcador,efeito,direcao,sentenca_original,arquivo_origem
verbo,resultar,A intervenção,resultou,"em uma média de 3,7 mmHg ( 1,6 a 5,9 ) na pressão sistólica",Causa -> Efeito,"A intervenção resultou em uma redução média de 3,7 mmHg (1,6 a 5,9) na pressão sistólica, a qual alcançou o efeito máximo em 12 meses, diminuindo 5,4 mmHg (2,3 a 8,5)426 (GR: IIa, NE: B).",OK Diretriz-HAS-2020.pdf
verbo,reduzir,A perda ponderal,reduz,a PA,Causa -> Efeito,"A perda ponderal reduz a PA, mesmo sem alcançar o peso corporal desejável.",OK Diretriz-HAS-2020.pdf
verbo,reduzir,", a perda ponderal de 5,1 kg",reduziu,a PAS,Causa -> Efeito,"Em uma metanálise incluindo 25 estudos, a perda ponderal de 5,1 kg reduziu, em média, a PAS em 4,4 mmHg e a PAD em 3,6 mmHg453 (GR: I, NE: A).",OK Diretriz-HAS-2020.pdf
verbo,reduzir,", a perda ponderal de 5,1 kg",reduziu,"em 3,6 mmHg453 ( GR : I , NE",Causa -> Efeito,"Em uma metanálise incluindo 25 estudos, a perda ponderal de 5,1 kg reduziu, em média, a PAS em 4,4 mmHg e a PAD em 3,6 mmHg453 (GR: I, NE: A).",OK Diretriz-HAS-2020.pdf
verbo,diminuir,"A do tempo sedentário , mesmo que",diminui,"o risco de mortalidade457 ( GR : IIb , NE : B )",Causa -> Efeito,"A redução do tempo sedentário, mesmo que por curto período de tempo, diminui o risco de mortalidade457 (GR: IIb, NE: B).",OK Diretriz-HAS-2020.pdf
verbo,diminuir,A prática regular de AF,diminui,a incidência de HA.458,Causa -> Efeito,A prática regular de AF diminui a incidência de HA.458,OK Diretriz-HAS-2020.pdf
verbo,reduzir,a respiração lenta,reduz,a pressão,Causa -> Efeito,"Um ensaio clínico, realizado com um número reduzido de participantes, mostrou que a respiração lenta reduz a pressão em repouso de indivíduos com HA isolada, além das respostas aos exercícios estáticos e dinâmicos470 (GR: IIb, NE: B).",OK Diretriz-HAS-2020.pdf
verbo,resultar,A associação de audição musical à respiração profunda,resultou,em estatisticamente significativa de PA,Causa -> Efeito,"A associação de audição musical à respiração profunda, em comparação com ouvir música, apenas não resultou em redução estatisticamente significativa de PA.",OK Diretriz-HAS-2020.pdf
verbo,reduzir,a meditação transcendental,reduziu,a PAS e 2,Causa -> Efeito,"Uma revisão sistemática mostrou que a meditação transcendental reduziu em cerca de 4 mmHg a PAS e 2 mmHg a PAD478 (GR: IIb, NE: B).",OK Diretriz-HAS-2020.pdf
verbo,reduzir,a meditação transcendental,reduziu,"a PAD478 ( GR : IIb , NE : B )",Causa -> Efeito,"Uma revisão sistemática mostrou que a meditação transcendental reduziu em cerca de 4 mmHg a PAS e 2 mmHg a PAD478 (GR: IIb, NE: B).",OK Diretriz-HAS-2020.pdf
verbo,reduzir,os mecanismos,reduz,a PA,Causa -> Efeito,"Contudo, os mecanismos pelos quais a meditação reduz a PA não foram completamente elucidados, e apontaram-se limitações metodológicas nesses estudos.479 ­8.16.",OK Diretriz-HAS-2020.pdf
verbo,reduzir,a meditação,reduz,a PA,Causa -> Efeito,"Contudo, os mecanismos pelos quais a meditação reduz a PA não foram completamente elucidados, e apontaram-se limitações metodológicas nesses estudos.479 ­8.16.",OK Diretriz-HAS-2020.pdf
verbo,reduzir,A hipopotassemia,reduz,a liberação de insulina,Causa -> Efeito,"A hipopotassemia também reduz a liberação de insulina, aumentando a intolerância à glicose e o risco de desenvolver diabetes melito",OK Diretriz-HAS-2020.pdf
verbo,diminuir,O uso de DIU em doses baixas,diminui,o risco dos efeitos adversos,Causa -> Efeito,"O uso de DIU em doses baixas diminui o risco dos efeitos adversos, sem prejuízo da eficácia anti-hipertensiva, especialmente quando em associação a outras classes de medicamentos.",OK Diretriz-HAS-2020.pdf
verbo,aumentar,os BB,aumentam,o risco de AVE,Causa -> Efeito,"Observou-se que, comparativamente com os demais agentes anti-hipertensivos (DIU, BCC, IECA, BRA), os BB aumentam em 16% o risco de AVE.",OK Diretriz-HAS-2020.pdf
verbo,aumentar,"o atenolol , comparado com os demais anti-hipertensivos ,",aumenta,o risco de AVE,Causa -> Efeito,"A metanálise534 também identificou que o atenolol, comparado com os demais anti-hipertensivos, aumenta o risco de AVE em 26% e a mortalidade geral em 8%, ambos estatisticamente significantes.",OK Diretriz-HAS-2020.pdf
verbo,promover,"O alisquireno , único representante da classe disponível comercialmente ,",promove,a inibição direta da ação da renina com a consequente diminuição da formação de angiotensina,Causa -> Efeito,"O alisquireno, único representante da classe disponível comercialmente, promove a inibição direta da ação da renina com a consequente diminuição da formação de angiotensina II.545",OK Diretriz-HAS-2020.pdf
verbo,promover,A combinação inicial de dois fármacos em comparação com a associação sequencial,promove,um controle mais rápido,Causa -> Efeito,"A combinação inicial de dois fármacos em comparação com a associação sequencial promove um controle mais rápido, podendo reduzir em até cinco vezes mais a PA,506 com evidente impacto sobre LOA e desfechos CV a longo prazo.",OK Diretriz-HAS-2020.pdf
verbo,aumentar,a terapia de combinação em dose fixa com dois medicamentos,aumentou,a adesão quando comparada com a combinação,Causa -> Efeito,"Uma metanálise demonstrou que a terapia de combinação em dose fixa com dois medicamentos aumentou em 24% a adesão quando comparada com a combinação em separado.553 Há, contudo, poucos estudos especificamente destinados a avaliar combinações de fármacos sobre desfechos CV.",OK Diretriz-HAS-2020.pdf
verbo,reduzir,A associação de BB a tiazídicos,reduziu,os desfechos CV,Causa -> Efeito,"A associação de BB a tiazídicos reduziu os desfechos CV, quando testada contra placebo em estudos antigos, envolvendo especialmente pacientes",OK Diretriz-HAS-2020.pdf
verbo,produzir,Efeito alfabloqueador,produz,menor bradicardia,Causa -> Efeito,Efeito alfabloqueador produz menor bradicardia.,OK Diretriz-HAS-2020.pdf
verbo,diminuir,", uma pressão arterial sistólica ( PAS ) entre 131-135 mmHg",diminuiu,o risco de mortalidade,Causa -> Efeito,"Em uma metanálise de 13 ensaios clínicos envolvendo pacientes com DM, uma pressão arterial sistólica (PAS) entre 131-135 mmHg diminuiu o risco de mortalidade por todas as causas em 13%, enquanto um controle mais intensivo da PAS ≤ 130 mmHg foi associado a maior redução de AVE.581 Outra metanálise mostrou a redução significativa de mortalidade com média alcançada de PAS igual a 138 mm",OK Diretriz-HAS-2020.pdf
verbo,promover,As estratégias medicamentosas para o controle da PA,promovem,de aproximadamente 50 % na incidência de IC em adultos,Causa -> Efeito,"As estratégias medicamentosas para o controle da PA promovem reduções de aproximadamente 50% na incidência de IC em adultos e, na população com idade > 80 anos, diminuições de 64%.560,627-628",OK Diretriz-HAS-2020.pdf
verbo,reduzir,"o uso de cálcio , na população com baixa ingesta ( < 600 mg / dia )",reduz,risco de PE de forma efetiva.667,Causa -> Efeito,"Nas pacientes consideradas de alto risco de PE, o uso de cálcio, na população com baixa ingesta (< 600 mg/dia), na dose 1,0 a 2g/dia, reduz risco de PE de forma efetiva.667",OK Diretriz-HAS-2020.pdf
verbo,reduzir,"O repouso relativo no hospital ,",reduz,o risco de hipertensão grave,Causa -> Efeito,"O repouso relativo no hospital, em comparação com a atividade rotineira em casa, reduz o risco de hipertensão grave.",OK Diretriz-HAS-2020.pdf
verbo,aumentar,a conduta,aumentou,o risco materno,Causa -> Efeito,"No HYPTAT-II, com gestações entre 34 a 37 semanas com HA não grave, a conduta expectante aumentou o risco materno com relação a parto imediato, mas diminuiu a ocorrência de síndrome do estresse respiratório neonatal.680",OK Diretriz-HAS-2020.pdf
verbo,aumentar,O risco de ser hipertensa crônica,aumenta,3 a 4 vezes,Causa -> Efeito,"O risco de ser hipertensa crônica aumenta 3 a 4 vezes; e o de AVE, 1,8 vezes.",OK Diretriz-HAS-2020.pdf
verbo,levar,A categorização da PA pela MAPA,leva,os parâmetros da chamada carga pressórica e a presença de dipping de PA durante o sono,Causa -> Efeito,"A categorização da PA pela MAPA leva em conta, além da medida de PA, os parâmetros da chamada carga pressórica e a presença de dipping de PA durante o sono, conforme demonstrado no Quadro 12.7.713 12.8.",OK Diretriz-HAS-2020.pdf
verbo,reduzir,"O objetivo do tratamento , seguida de uma lenta em torno de 24-48h",reduzir,a PA,Causa -> Efeito,"O objetivo do tratamento é reduzir a PA em 25% nas primeiras 8h, seguida de uma redução lenta em torno de 24-48h, até alcançar o percentil 95, uma vez que a redução rápida poderá acarretar danos, principalmente cerebrais.730,731",OK Diretriz-HAS-2020.pdf
verbo,aumentar,A da PA,aumenta,o risco de expansão do hematoma e o risco de morte,Causa -> Efeito,"A elevação da PA aumenta o risco de expansão do hematoma e o risco de morte, além de piorar o prognóstico da recuperação neurológica.",OK Diretriz-HAS-2020.pdf
verbo,elevar,o aumento da RVP,eleva,a demanda de oxigênio,Causa -> Efeito,"Em consequência, o aumento da RVP eleva a demanda de oxigênio pelo miocárdio.",OK Diretriz-HAS-2020.pdf
verbo,reduzir,O objetivo,reduzir,a pós-carga,Causa -> Efeito,"O objetivo é reduzir a pós-carga sem aumentar a FC ou sem reduzir exageradamente a pré-carga, pois isso levaria a um incremento no consumo de oxigênio pelo miocárdio.",OK Diretriz-HAS-2020.pdf
verbo,aumentar,As anfetaminas,aumentam,a PA,Causa -> Efeito,"As anfetaminas aumentam a PA em dose-dependente,761 causando taquicardia, palpitações, sudorese e arritmias, enquanto o ecstasy tem outros efeitos, além do aumento da FC e PA (síndrome serotoninérgica).762",OK Diretriz-HAS-2020.pdf
verbo,aumentar,O enrijecimento aórtico,aumenta,as velocidades de propagação da onda de pulso arterial ( VOP ),Causa -> Efeito,"O enrijecimento aórtico, em decorrência do envelhecimento vascular, aumenta as velocidades de propagação da onda de pulso arterial (VOP) em direção à circulação periférica (centrífuga) e das ondas reflexas que retornam ao coração (centrípeta).",OK Diretriz-HAS-2020.pdf
verbo,reduzir,O tratamento,reduz,o risco CV e de declínio cognitivo,Causa -> Efeito,O tratamento reduz o risco CV e de declínio cognitivo.,OK Diretriz-HAS-2020.pdf
verbo,levar,As pausas respiratórias,levam,a maior esforço respiratório,Causa -> Efeito,"As pausas respiratórias levam a maior esforço respiratório e geram redução da pressão intratorácica que aumentam a pressão transmural do ventrículo esquerdo, as quedas cíclicas da saturação de oxigênio (hipóxia intermitente), a hipercapnia (usualmente discreta) e a fragmentação do sono.889",OK Diretriz-HAS-2020.pdf
verbo,aumentar,"as alterações do padrão de descenso noturno , especialmente a forma ascensão da PA ( média da PA no sono mais alta do que na vigília )",aumentam,a chance,Causa -> Efeito,"Dados recentes sugerem que as alterações do padrão de descenso noturno, especialmente a forma ascensão da PA (média da PA no sono mais alta do que na vigília), aumentam a chance para a presença da AOS em cerca de três a quatro vezes.904 15.3.2.3.",OK Diretriz-HAS-2020.pdf
verbo,aumentar,O hipotireoidismo,aumenta,a resistência vascular e o volume extracelular,Causa -> Efeito,"O hipotireoidismo aumenta a resistência vascular e o volume extracelular, mas a elevação na PA costuma ser discreta (<150/100 mmHg).",OK Diretriz-HAS-2020.pdf
verbo,elevar,O hipertireoidismo,eleva,o débito cardíaco,Causa -> Efeito,O hipertireoidismo eleva o débito cardíaco em consequência do aumento do consumo periférico de oxigênio e do aumento da contratilidade cardíaca.935,OK Diretriz-HAS-2020.pdf
verbo,aumentar,O objetivo,aumentar,a precisão na estratificação de risco CV em indivíduos considerados de risco baixo,Causa -> Efeito,"O objetivo é aumentar a precisão na estratificação de risco CV em indivíduos considerados de risco baixo ou intermediário.82,139,1010",OK Diretriz-HAS-2020.pdf
verbo,levar,"o aumento ou abrupta da PA , bem como o controle e restabelecimento da PA ,",levam,a uma melhora desse sintoma,Causa -> Efeito,"Além disso, em uma revisão sistemática, foi verificado que o zumbido se agrava quando ocorre o aumento ou diminuição abrupta da PA, bem como o controle e restabelecimento da PA, levam a uma melhora desse sintoma.",OK Zumbido e hipertenção.pdf
verbo,causar,Doenças crônicas não transmissíveis,causam,16 milhões de mortes prematuras todos os anos [ Internet ],Causa -> Efeito,Doenças crônicas não transmissíveis causam 16 milhões de mortes prematuras todos os anos [Internet].,OK Zumbido e hipertenção.pdf
verbo,contribuir,MFCGM,contribuiu,"com a escrita , correções",Causa -> Efeito,"MFCGM contribuiu com a escrita, correções e propôs a ideia da pesquisa.",OK Zumbido e hipertenção.pdf
verbo,levar,O processo de construção do questionário,levou,vários modelos,Causa -> Efeito,"O processo de construção do questionário levou em conta vários modelos, entre eles: questionários simplificados utilizados por sistemas de monitoramento de fatores de risco para doenças crônicas, experiência acumulada em testes de implantação do sistema (Monteiro et al., 2005;",OK vigitel-brasil-2023.pdf
verbo,implicar,A do tamanho da amostra em cada cidade,implica,na da precisão das estimativas,Causa -> Efeito,"A redução do tamanho da amostra em cada cidade implica na diminuição da precisão das estimativas, situação que recebeu consideração especial na presente edição do Vigitel.",OK vigitel-brasil-2023.pdf
verbo,implicar,A do tamanho da amostra em cada cidade,implica,", situação que recebeu consideração especial na presente edição do Vigitel",Causa -> Efeito,"A redução do tamanho da amostra em cada cidade implica na diminuição da precisão das estimativas, situação que recebeu consideração especial na presente edição do Vigitel.",OK vigitel-brasil-2023.pdf
verbo,promover,", mas a inclusão de telefones móveis no cadastro",promoveu,sensível aumento da cobertura ( em comparação com aquela de telefones fixos ),Causa -> Efeito,"A cobertura dessa rede não é universal, mas a inclusão de telefones móveis no cadastro promoveu sensível aumento da cobertura (em comparação com aquela de telefones fixos), especialmente nas cidades economicamente menos desenvolvidas e nos estratos populacionais de menor nível socioeconômico (grupos com os menores percentuais de cobertura de telefonia fixa).",OK vigitel-brasil-2023.pdf
verbo,contribuir,todos os indivíduos estudados,contribuem,da mesma forma para as estimativas geradas pelo inquérito,Causa -> Efeito,"Quando dados individuais de um inquérito populacional são utilizados sem pesos, todos os indivíduos estudados contribuem da mesma forma para as estimativas geradas pelo inquérito.",OK vigitel-brasil-2023.pdf
verbo,levar,O peso atribuído inicialmente a cada indivíduo entrevistado pelo Vigitel em cada uma das 26 capitais e no Distrito Federal,leva,dois fatores,Causa -> Efeito,O peso atribuído inicialmente a cada indivíduo entrevistado pelo Vigitel em cada uma das 26 capitais e no Distrito Federal leva em conta dois fatores.,OK vigitel-brasil-2023.pdf
verbo,levar,O processo de construção do questionário do sistema,levou,vários modelos de questionários simplificados utilizados por sistemas de monitoramento de fatores de risco para doenças crônicas ( Remington et al,Causa -> Efeito,O processo de construção do questionário do sistema levou em conta vários modelos de questionários simplificados utilizados por sistemas de monitoramento de fatores de risco para doenças crônicas (Remington et al.,OK vigitel-brasil-2023.pdf
verbo,levar,Este indicador,leva,a resposta dada para a questão,Causa -> Efeito,Este indicador leva em conta a resposta dada para a questão “,OK vigitel-brasil-2023.pdf
verbo,levar,Este indicador,leva,a resposta dada para a questão,Causa -> Efeito,Este indicador leva em conta a resposta dada para a questão:,OK vigitel-brasil-2023.pdf
verbo,diminuir,A frequência do hábito de fumar,diminuiu,com o aumento da escolaridade,Causa -> Efeito,"A frequência do hábito de fumar diminuiu com o aumento da escolaridade e foi particularmente alta entre homens com até oito anos de estudo (14,6%) (Tabela 2).",OK vigitel-brasil-2023.pdf
verbo,aumentar,a frequência dessa condição,aumentou,com a idade,Causa -> Efeito,"No total da população, a frequência dessa condição aumentou com a idade até os 54 anos e reduziu com o aumento da escolaridade (Tabela 8).",OK vigitel-brasil-2023.pdf
verbo,diminuir,a frequência de obesidade,diminuiu,com o aumento da escolaridade ( Tabela 10 ),Causa -> Efeito,Para a população total e para as mulheres a frequência de obesidade diminuiu com o aumento da escolaridade (Tabela 10).,OK vigitel-brasil-2023.pdf
verbo,levar,"a estimativa da frequência de prática insuficiente de atividade física e de inatividade física ,",leva,"os valores mínimos de duração das atividades físicas incluídas em seu computo ( até então ,",Causa -> Efeito,"Acompanhando mudanças nas recomendações internacionais (WHO, 2020b), a partir dessa edição do Vigitel, a estimativa da frequência de prática insuficiente de atividade física e de inatividade física, não mais leva em consideração os valores mínimos de duração das atividades físicas incluídas em seu computo (até então, apenas atividades com duração superior a dez minutos eram contabilizadas).",OK vigitel-brasil-2023.pdf
verbo,reduzir,A frequência dessa condição,reduziu,com o aumento da idade,Causa -> Efeito,A frequência dessa condição reduziu com o aumento da idade e aumentou fortemente com o nível de escolaridade (Tabela 24).,OK vigitel-brasil-2023.pdf
verbo,diminuir,essa frequência,diminuiu,com o aumento da idade,Causa -> Efeito,"Em ambos os sexos, essa frequência diminuiu com o aumento da idade a partir dos 35 anos e aumentou com o nível de escolaridade (Tabela 36).",OK vigitel-brasil-2023.pdf
verbo,aumentar,esta frequência,aumentou,com a idade,Causa -> Efeito,"Em ambos os sexos, esta frequência aumentou com a idade e diminuiu com o nível de escolaridade (Tabela 46).",OK vigitel-brasil-2023.pdf
verbo,aumentar,a frequência dessa condição,aumentou,com a idade,Causa -> Efeito,"Em ambos os sexos, a frequência dessa condição aumentou intensamente com a idade e diminuiu com o nível de escolaridade (Tabela 48).",OK vigitel-brasil-2023.pdf
verbo,aumentar,a HAS,aumenta,o risco de desenvolvimento de doenças cardiovasculares ( DCV ),Causa -> Efeito,"Outrossim, a HAS aumenta consideravelmente o risco de desenvolvimento de doenças cardiovasculares (DCV), as quais são as principais causas Brazilian Journal of Development Brazilian Journal of Development, Curitiba, v.8, n.10, p.65650-65666, oct., 2022 de óbito no Brasil; dessa forma, seu rastreio e devido diagnóstico, bem como o tratamento, são imprescindíveis como medidas de saúde pública (CHARLES; TRISCOTT; DOBBS, 2017; WRIGHT; MUSINI; GILL, 2018; L et al.",OK causas Hipertensão Secundária.pdf
verbo,aumentar,a HAS,aumenta,", seu rastreio e devido diagnóstico",Causa -> Efeito,"Outrossim, a HAS aumenta consideravelmente o risco de desenvolvimento de doenças cardiovasculares (DCV), as quais são as principais causas Brazilian Journal of Development Brazilian Journal of Development, Curitiba, v.8, n.10, p.65650-65666, oct., 2022 de óbito no Brasil; dessa forma, seu rastreio e devido diagnóstico, bem como o tratamento, são imprescindíveis como medidas de saúde pública (CHARLES; TRISCOTT; DOBBS, 2017; WRIGHT; MUSINI; GILL, 2018; L et al.",OK causas Hipertensão Secundária.pdf
verbo,levar,mutações em genes responsáveis pela formação de canais iônicos,levam,a um aumento da concentração de cálcio no meio intracelular das células da zona glomerulosa das glândulas adrenais,Causa -> Efeito,"O hiperaldosteronismo primário (HAP) corresponde a principal etiologia responsável pelo desenvolvimento de HASS ; sua fisiopatologia ainda não está totalmente esclarecida, mas sabe-se, atualmente, que mutações em genes responsáveis pela formação de canais iônicos levam a um aumento da concentração de cálcio no meio intracelular das células da zona glomerulosa das glândulas adrenais, o que desencadeia estímulos para a atuação da enzima CYP11B2 - também denominada aldosterona sintase - no aumento da produção de aldosterona.",OK causas Hipertensão Secundária.pdf
verbo,aumentar,o cortisol,aumenta,a PA,Causa -> Efeito,"Ademais, vários são os mecanismo pelos quais o cortisol aumenta a PA;",OK causas Hipertensão Secundária.pdf
verbo,levar,"Tal alteração fisiológica , associada à rigidez de arteríolas periféricas causadas pelo processo inflamatório sistêmico ,",leva,a um aumento da resistência vascular periférica,Causa -> Efeito,"Tal alteração fisiológica, associada à rigidez de arteríolas periféricas causadas pelo processo inflamatório sistêmico, leva a um aumento da resistência vascular periférica, refletindo na elevação dos níveis pressóricos.",OK causas Hipertensão Secundária.pdf
verbo,gerar,a descoberta de mutações em genes que codificam canais iônicos no hiperaldosteronismo primário,gerou,esperança,Causa -> Efeito,"Outrossim, a descoberta de mutações em genes que codificam canais iônicos no hiperaldosteronismo primário gerou esperança para o desenvolvimento de terapias direcionadas;",OK causas Hipertensão Secundária.pdf
verbo,diminuir,o uso de tais medicações,diminui,a mortalidade,Causa -> Efeito,"Além disso, o uso de tais medicações diminui a mortalidade durante a terapia de longo prazo, especialmente mais evidente em portadores de doença renal crônica (HERRMANN; TEXTOR, 2017).",OK causas Hipertensão Secundária.pdf
verbo,reduzir,A cirurgia,reduz,o risco de ruptura do aneurisma e complicações relacionadas,Causa -> Efeito,"A cirurgia não só reduz o risco de ruptura do aneurisma e complicações relacionadas, mas também ajuda a aliviar sintomas como dor abdominal ou nas costas, que podem impactar significativamente as atividades diárias e o bem-estar geral.",OK Aneurisma aorta abdominal CIRURGIA.pdf
verbo,aumentar,"Níveis insulinêmicos fisiológicos pós-prandiais obtidos por infusão aguda de insulina , sob condições de hiperglicemia ,",aumentaram,a excreção urinária de glicose e sódio simultaneamente,Causa -> Efeito,"Níveis insulinêmicos fisiológicos pós-prandiais obtidos por infusão aguda de insulina, sob condições de hiperglicemia, aumentaram a excreção urinária de glicose e sódio simultaneamente, indicando uma possível ação da insulina na reabsorção de glicose pelos SGLTs.",OK Insulina e HAS.pdf
substantivo (efeito),efeito,da insulina,Efeito,clearance de glicose corrigido pelo clearance de creatinina,Efeito <- Causa,Efeito da insulina na manipulação renal de glicose: clearance de glicose corrigido pelo clearance de creatinina,OK Insulina e HAS.pdf
verbo,resultar,Os efeitos da insulina no metabolismo celular e tecidual,resultam,de uma rede altamente integrada de diferentes vias,Causa -> Efeito,Os efeitos da insulina no metabolismo celular e tecidual resultam de uma rede altamente integrada de diferentes vias .,OK Insulina e HAS.pdf
verbo,reduzir,A sobreposição espacial da SNX5 à IDE próxima à membrana apical no TP,reduz,os níveis de insulina circulantes,Causa -> Efeito,"A sobreposição espacial da SNX5 à IDE próxima à membrana apical no TP reduz os níveis de insulina circulantes enquanto a deficiência de uma ou de ambas leva ao seu aumento, com consequente diminuição da expressão dos IRec induzindo resistência à ação da insulina (IR) (34,35).",OK Insulina e HAS.pdf
verbo,levar,a deficiência de uma ou de ambas,leva,ao seu aumento,Causa -> Efeito,"A sobreposição espacial da SNX5 à IDE próxima à membrana apical no TP reduz os níveis de insulina circulantes enquanto a deficiência de uma ou de ambas leva ao seu aumento, com consequente diminuição da expressão dos IRec induzindo resistência à ação da insulina (IR) (34,35).",OK Insulina e HAS.pdf
verbo,levar,A progressão da incidência e prevalência de obesidade nas últimas décadas,levado,a um aumento subsequente da DM2 na população mundial,Causa -> Efeito,"A progressão da incidência e prevalência de obesidade nas últimas décadas tem levado a um aumento subsequente da DM2 na população mundial, com o surgimento de hiperglicemia em idades mais precoces e, portanto, com maior risco de comorbidades associadas à progressão da diabetes em uma faixa etária mais A insulina é a opção de tratamento de primeira linha na DM1.",OK Insulina e HAS.pdf
verbo,levar,a da reabsorção de sódio e glicose no TP,leva,a maior concentração de sódio,Causa -> Efeito,"Tal mecanismo de controle seria, hipoteticamente, um dos responsáveis pelo efeito protetor dos inibidores de SGLT2: a diminuição da reabsorção de sódio e glicose no TP leva a maior concentração de sódio na mácula densa resultando em menor estímulo à vasodilatação aferente com consequente inibição de uma hiperfiltração glomerular É interessante notar que a recaptação renal de glicose através de um gradiente de sódio deve ser a mais eficiente possível, estando relacionada às incursões alimentares (72,73) e à homeostase renal do sódio, regulada pelas concentrações deste íon no filtrado.",OK Insulina e HAS.pdf
verbo,resultar,"o aumento do fluxo intracelular de glicose no TP , secundário à hiperatividade do sistema dos SGLTs ,",resulta,em maior consumo de ATP e inibição relativa da atividade da bomba de Na-K,Causa -> Efeito,"Na diabetes, o aumento do fluxo intracelular de glicose no TP , secundário à hiperatividade do sistema dos SGLTs, resulta em maior consumo de ATP e inibição relativa da atividade da bomba de Na-K , mas que, de fato, encontra-se hiper estimulada (43,82,84).",OK Insulina e HAS.pdf
verbo,resultar,A sobrecarga da atividade mitocondrial na produção,resulta,em formação exacerbada de radicais livres ( 84–90 ) e de marcadores inflamatórios,Causa -> Efeito,"A sobrecarga da atividade mitocondrial na produção ATP resulta em formação exacerbada de radicais livres (84–90) e elevação de marcadores inflamatórios (91–94), levando à degeneração funcional mitocondrial, em um processo de envelhecimento celular precoce associado ao desencadeamento de resistência celular à ação da insulina (91–93).",OK Insulina e HAS.pdf
verbo,resultar,ATP,resulta,em formação exacerbada de radicais livres ( 84–90 ) e de marcadores inflamatórios,Causa -> Efeito,"A sobrecarga da atividade mitocondrial na produção ATP resulta em formação exacerbada de radicais livres (84–90) e elevação de marcadores inflamatórios (91–94), levando à degeneração funcional mitocondrial, em um processo de envelhecimento celular precoce associado ao desencadeamento de resistência celular à ação da insulina (91–93).",OK Insulina e HAS.pdf
verbo,promover,O ponto da curva a partir,promovem,aumentos lineares na glicosúria,Causa -> Efeito,"O ponto da curva a partir do qual incrementos na glicemia promovem aumentos lineares na glicosúria define a capacidade máxima renal de reabsorção de glicose (TmG), (104,105) e equivale à total saturação do sistema de reabsorção pelos SGLTs.",OK Insulina e HAS.pdf
verbo,promover,do qual incrementos na glicemia,promovem,aumentos lineares na glicosúria,Causa -> Efeito,"O ponto da curva a partir do qual incrementos na glicemia promovem aumentos lineares na glicosúria define a capacidade máxima renal de reabsorção de glicose (TmG), (104,105) e equivale à total saturação do sistema de reabsorção pelos SGLTs.",OK Insulina e HAS.pdf
verbo,aumentar,a insulina,aumentava,"o TmG em indivíduos com diabetes , mas sob níveis muito altos de insulinemia",Causa -> Efeito,"demonstraram que a insulina aumentava o TmG em indivíduos com diabetes, mas sob níveis muito altos de insulinemia .",OK Insulina e HAS.pdf
verbo,aumentar,A exposição à insulina,aumentou,"a atividade ( 43,90 ) e os níveis proteicos do SGLT2 independentemente das concentrações de glicose em culturas de células renais humanas",Causa -> Efeito,"A exposição à insulina também aumentou a atividade (43,90) e os níveis proteicos do SGLT2 independentemente das concentrações de glicose em culturas de células renais humanas.",OK Insulina e HAS.pdf
verbo,elevar,a insulina,elevou,a quantidade e atividade do SGLT2 em resposta dose-dependente,Causa -> Efeito,Achado similar foi observado usando culturas de células de TP humano em que a insulina elevou a quantidade e atividade do SGLT2 em resposta dose-dependente .,OK Insulina e HAS.pdf
verbo,aumentar,"a secreção tubular de inibidores farmacológicos do SGLT2 , mediada pelas proteínas OAT ,",aumenta,a concentração tubular luminal,Causa -> Efeito,"Porém, a secreção tubular de inibidores farmacológicos do SGLT2 , mediada pelas proteínas OAT, aumenta a concentração tubular luminal e, por consequência, a ação do inibidor .",OK Insulina e HAS.pdf
verbo,induzir,A insulina,induziu,"aumento do fluxo sanguíneo renal em ratos ( 148,149 )",Causa -> Efeito,"A insulina induziu aumento do fluxo sanguíneo renal em ratos (148,149);",OK Insulina e HAS.pdf
verbo,promover,seu emprego no DM2 associado à insulina,promove,de dose desta,Causa -> Efeito,"Além disso, seu emprego no DM2 associado à insulina promove redução de dose desta, não existindo até o momento, porém, consenso sobre sua segurança e benefício no tratamento do DM1 (56,58,60).",OK Insulina e HAS.pdf
verbo,diminuir,Uma infusão aguda de insulina,diminui,a excreção urinária de glicose em humanos saudáveis,Causa -> Efeito,"Uma infusão aguda de insulina, em níveis fisiológicos pós-prandiais, diminui a excreção urinária de glicose em humanos saudáveis.",OK Insulina e HAS.pdf
verbo,aumentar,", a diurese e o clearance de creatinina",aumentaram,( p2 da ANOVA ),Causa -> Efeito,"Durante a reprodução da hiperglicemia atingida no pCT e sob infusão da insulina (pINS), a diurese e o clearance de creatinina aumentaram (p2 da ANOVA), sendo esse efeito significativo apenas no gDM2 (Tabela 5.2).",OK Insulina e HAS.pdf
substantivo (efeito),efeito,do período,efeito,"; b p<0,01 ;",Efeito <- Causa,"p2= efeito do período; p3= interação (grupo vs. período) por ANOVA para medidas repetidas com correção por postos; a p<0,001; b p<0,01; c p< 0,05 para comparação pareada entre pCT e pINS pelo teste de Wilcoxon, por postos, em cada grupo.",OK Insulina e HAS.pdf
verbo,reduzir,A infusão de insulina,reduziu,as concentrações plasmáticas de K+,Causa -> Efeito,A infusão de insulina reduziu significativamente as concentrações plasmáticas de K+ em ambos os grupos assim como a excreção urinária do íon (Tabela 5.2 e Tabela 5.3).,OK Insulina e HAS.pdf
